Barrio,Titulo,Sup. Terreno,Frente,Contrafrente,Lat Derecho,Lat Izquierdo,LFI,LIB,Zonificacion,Mixtura Usos,Alt. Max.,Cant. Pisos,Sup. Vendible,Sup. Edif. Cub.,Precio,Plusvalia,Factibilidad
Villa Ortuzar,MARIANO ACHA 1192,699.46m2,20m,20.02m,40.39m,29.50m,20.91 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,2385.00m2,,U$S  389.000,PLUSVALIA  U$S 33.856,https://lideresenterrenos.com.ar/estudioTerreno/613
Villa Ortuzar,HEREDIA 734,699.46m2,20m,20.02m,40.39m,29.50m,20.91 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,2385.00m2,,U$S  389.000,PLUSVALIA  U$S 33.856,https://lideresenterrenos.com.ar/estudioTerreno/613
Villa Ortuzar,GIRARDOT 1356,699.46m2,20m,20.02m,40.39m,29.50m,20.91 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,2385.00m2,,U$S  389.000,PLUSVALIA  U$S 33.856,https://lideresenterrenos.com.ar/estudioTerreno/613
Villa Ortuzar,ESTOMBA 1069,699.46m2,20m,20.02m,40.39m,29.50m,20.91 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,2385.00m2,,U$S  389.000,PLUSVALIA  U$S 33.856,https://lideresenterrenos.com.ar/estudioTerreno/613
Villa Ortuzar,BALLIVIAN 2127,699.46m2,20m,20.02m,40.39m,29.50m,20.91 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,2385.00m2,,U$S  389.000,PLUSVALIA  U$S 33.856,https://lideresenterrenos.com.ar/estudioTerreno/613
Villa Ortuzar,14 DE JULIO 1084 / 90,699.46m2,20m,20.02m,40.39m,29.50m,20.91 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,2385.00m2,,U$S  389.000,PLUSVALIA  U$S 33.856,https://lideresenterrenos.com.ar/estudioTerreno/613
Villa Ortuzar,TRIUNVIRATO  3098,699.46m2,20m,20.02m,40.39m,29.50m,20.91 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,2385.00m2,,U$S  389.000,PLUSVALIA  U$S 33.856,https://lideresenterrenos.com.ar/estudioTerreno/613
Villa Ortuzar,TRONADOR 1033,699.46m2,20m,20.02m,40.39m,29.50m,20.91 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,2385.00m2,,U$S  389.000,PLUSVALIA  U$S 33.856,https://lideresenterrenos.com.ar/estudioTerreno/613
Villa Ortuzar,14 DE JULIO 1084,699.46m2,20m,20.02m,40.39m,29.50m,20.91 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,2385.00m2,,U$S  389.000,PLUSVALIA  U$S 33.856,https://lideresenterrenos.com.ar/estudioTerreno/613
Villa Ortuzar,ZARRAGA 3630,699.46m2,20m,20.02m,40.39m,29.50m,20.91 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,2385.00m2,,U$S  389.000,PLUSVALIA  U$S 33.856,https://lideresenterrenos.com.ar/estudioTerreno/613
